Year,Geographical Description,ONS Code,Measure Group,Measure Group Description,Measure_Value,Geographical Level,Disaggregation Level,Measure Type
2023-24,Tameside,E08000008,2D1,Proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,80.2,Council,,
2023-24,Tameside,E08000008,2A,Outcome of short-term services: sequel to service,72.8,Council,,
2023-24,Trafford,E08000009,2D2,Proportion of older people (aged 65 and over) offered reablement services following discharge from hospital,3.6,Council,,
2023-24,Trafford,E08000009,2E,Proportion of adults with learning disabilities who live in their own home or with their family,91.2,Council,,
2023-24,Trafford,E08000009,3D1A,Proportion of people using social care who receive self-directed support,75.4,Council,,
2023-24,Trafford,E08000009,3D1B,Proportion of carers who receive self-directed support,51.4,Council,,
2023-24,Trafford,E08000009,3D2A,Proportion of people using social care who receive direct payments,23.3,Council,,
2023-24,Trafford,E08000009,3D2B,Proportion of carers who receive direct payments,51.4,Council,,
2023-24,Trafford,E08000009,2D1,Proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,90.7,Council,,
2023-24,Trafford,E08000009,2A,Outcome of short-term services: sequel to service,44.8,Council,,
2023-24,Wigan,E08000010,2D2,Proportion of older people (aged 65 and over) offered reablement services following discharge from hospital,1.9,Council,,
2023-24,Wigan,E08000010,2E,Proportion of adults with learning disabilities who live in their own home or with their family,97.4,Council,,
2023-24,Wigan,E08000010,3D1A,Proportion of people using social care who receive self-directed support,99.6,Council,,
2023-24,Wigan,E08000010,3D1B,Proportion of carers who receive self-directed support,100.0,Council,,
2023-24,Wigan,E08000010,3D2A,Proportion of people using social care who receive direct payments,21.3,Council,,
2023-24,Wigan,E08000010,3D2B,Proportion of carers who receive direct payments,100.0,Council,,
2023-24,Wigan,E08000010,2D1,Proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,86.3,Council,,
2023-24,Wigan,E08000010,2A,Outcome of short-term services: sequel to service,80.5,Council,,
2023-24,Knowsley,E08000011,2D2,Proportion of older people (aged 65 and over) offered reablement services following discharge from hospital,1.4,Council,,
2023-24,Knowsley,E08000011,2E,Proportion of adults with learning disabilities who live in their own home or with their family,94.7,Council,,
2023-24,Knowsley,E08000011,3D1A,Proportion of people using social care who receive self-directed support,98.6,Council,,
2023-24,Knowsley,E08000011,3D1B,Proportion of carers who receive self-directed support,100.0,Council,,
2023-24,Knowsley,E08000011,3D2A,Proportion of people using social care who receive direct payments,39.6,Council,,
2023-24,Knowsley,E08000011,3D2B,Proportion of carers who receive direct payments,100.0,Council,,
2023-24,Knowsley,E08000011,2D1,Proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,88.7,Council,,
2023-24,Knowsley,E08000011,2A,Outcome of short-term services: sequel to service,86.0,Council,,
2023-24,Liverpool,E08000012,2D2,Proportion of older people (aged 65 and over) offered reablement services following discharge from hospital,3.8,Council,,
2023-24,Liverpool,E08000012,2E,Proportion of adults with learning disabilities who live in their own home or with their family,77.3,Council,,
2023-24,Liverpool,E08000012,3D1A,Proportion of people using social care who receive self-directed support,98.2,Council,,
2023-24,Liverpool,E08000012,3D1B,Proportion of carers who receive self-directed support,90.0,Council,,
2023-24,Liverpool,E08000012,3D2A,Proportion of people using social care who receive direct payments,25.2,Council,,
2023-24,Liverpool,E08000012,3D2B,Proportion of carers who receive direct payments,38.6,Council,,
2023-24,Liverpool,E08000012,2D1,Proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,94.3,Council,,
2023-24,Liverpool,E08000012,2A,Outcome of short-term services: sequel to service,68.4,Council,,
2023-24,Sefton,E08000014,2D2,Proportion of older people (aged 65 and over) offered reablement services following discharge from hospital,3.7,Council,,
2023-24,Sefton,E08000014,2E,Proportion of adults with learning disabilities who live in their own home or with their family,88.1,Council,,
2023-24,Sefton,E08000014,3D1A,Proportion of people using social care who receive self-directed support,99.5,Council,,
2023-24,Sefton,E08000014,3D1B,Proportion of carers who receive self-directed support,90.6,Council,,
2023-24,Sefton,E08000014,3D2A,Proportion of people using social care who receive direct payments,23.3,Council,,
2023-24,Sefton,E08000014,3D2B,Proportion of carers who receive direct payments,90.6,Council,,
2023-24,Sefton,E08000014,2D1,Proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,88.2,Council,,
2023-24,Sefton,E08000014,2A,Outcome of short-term services: sequel to service,71.5,Council,,
2023-24,St. Helens,E08000013,2D2,Proportion of older people (aged 65 and over) offered reablement services following discharge from hospital,1.1,Council,,
2023-24,St. Helens,E08000013,2E,Proportion of adults with learning disabilities who live in their own home or with their family,95.8,Council,,
2023-24,St. Helens,E08000013,3D1A,Proportion of people using social care who receive self-directed support,97.5,Council,,
2023-24,St. Helens,E08000013,3D1B,Proportion of carers who receive self-directed support,95.1,Council,,
2023-24,St. Helens,E08000013,3D2A,Proportion of people using social care who receive direct payments,24.1,Council,,
2023-24,St. Helens,E08000013,3D2B,Proportion of carers who receive direct payments,89.2,Council,,
2023-24,St. Helens,E08000013,2D1,Proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,71.8,Council,,
2023-24,St. Helens,E08000013,2A,Outcome of short-term services: sequel to service,63.9,Council,,
2023-24,Wirral,E08000015,2D2,Proportion of older people (aged 65 and over) offered reablement services following discharge from hospital,3.4,Council,,
2023-24,Wirral,E08000015,2E,Proportion of adults with learning disabilities who live in their own home or with their family,87.9,Council,,
2023-24,Wirral,E08000015,3D1A,Proportion of people using social care who receive self-directed support,7.7,Council,,
2023-24,Wirral,E08000015,3D1B,Proportion of carers who receive self-directed support,45.9,Council,,
2023-24,Wirral,E08000015,3D2A,Proportion of people using social care who receive direct payments,7.7,Council,,
2023-24,Wirral,E08000015,3D2B,Proportion of carers who receive direct payments,45.9,Council,,
2023-24,Wirral,E08000015,2D1,Proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,78.0,Council,,
2023-24,Wirral,E08000015,2A,Outcome of short-term services: sequel to service,69.0,Council,,
2023-24,Halton,E06000006,2D2,Proportion of older people (aged 65 and over) offered reablement services following discharge from hospital,3.2,Council,,
2023-24,Halton,E06000006,2E,Proportion of adults with learning disabilities who live in their own home or with their family,92.8,Council,,
2023-24,Halton,E06000006,3D1A,Proportion of people using social care who receive self-directed support,76.3,Council,,
2023-24,Halton,E06000006,3D1B,Proportion of carers who receive self-directed support,97.9,Council,,
2023-24,Halton,E06000006,3D2A,Proportion of people using social care who receive direct payments,40.9,Council,,
2023-24,Halton,E06000006,3D2B,Proportion of carers who receive direct payments,97.9,Council,,
2023-24,Halton,E06000006,2D1,Proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,96.4,Council,,
2023-24,Halton,E06000006,2A,Outcome of short-term services: sequel to service,69.0,Council,,
2023-24,Warrington,E06000007,2D2,Proportion of older people (aged 65 and over) offered reablement services following discharge from hospital,4.8,Council,,
2023-24,Warrington,E06000007,2E,Proportion of adults with learning disabilities who live in their own home or with their family,91.8,Council,,
2023-24,Warrington,E06000007,3D1A,Proportion of people using social care who receive self-directed support,97.7,Council,,
2023-24,Warrington,E06000007,3D1B,Proportion of carers who receive self-directed support,89.2,Council,,
2023-24,Warrington,E06000007,3D2A,Proportion of people using social care who receive direct payments,21.3,Council,,
2023-24,Warrington,E06000007,3D2B,Proportion of carers who receive direct payments,89.2,Council,,
2023-24,Warrington,E06000007,2D1,Proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,82.8,Council,,
2023-24,Warrington,E06000007,2A,Outcome of short-term services: sequel to service,86.0,Council,,
2023-24,Lancashire,E10000017,2D2,Proportion of older people (aged 65 and over) offered reablement services following discharge from hospital,2.5,Council,,
2023-24,Lancashire,E10000017,2E,Proportion of adults with learning disabilities who live in their own home or with their family,92.1,Council,,
2023-24,Lancashire,E10000017,3D1A,Proportion of people using social care who receive self-directed support,73.9,Council,,
2023-24,Lancashire,E10000017,3D1B,Proportion of carers who receive self-directed support,93.1,Council,,
2023-24,Lancashire,E10000017,3D2A,Proportion of people using social care who receive direct payments,30.8,Council,,
2023-24,Lancashire,E10000017,3D2B,Proportion of carers who receive direct payments,92.5,Council,,
2023-24,Lancashire,E10000017,2D1,Proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,84.8,Council,,
2023-24,Lancashire,E10000017,2A,Outcome of short-term services: sequel to service,98.4,Council,,
2023-24,Blackburn with Darwen,E06000008,2D2,Proportion of older people (aged 65 and over) offered reablement services following discharge from hospital,4.5,Council,,
2023-24,Blackburn with Darwen,E06000008,2E,Proportion of adults with learning disabilities who live in their own home or with their family,93.6,Council,,
2023-24,Blackburn with Darwen,E06000008,3D1A,Proportion of people using social care who receive self-directed support,79.8,Council,,
2023-24,Blackburn with Darwen,E06000008,3D1B,Proportion of carers who receive self-directed support,100.0,Council,,
2023-24,Blackburn with Darwen,E06000008,3D2A,Proportion of people using social care who receive direct payments,27.6,Council,,
2023-24,Blackburn with Darwen,E06000008,3D2B,Proportion of carers who receive direct payments,100.0,Council,,
2023-24,Blackburn with Darwen,E06000008,2D1,Proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,89.9,Council,,
2023-24,Blackburn with Darwen,E06000008,2A,Outcome of short-term services: sequel to service,62.3,Council,,
2023-24,Blackpool,E06000009,2D2,Proportion of older people (aged 65 and over) offered reablement services following discharge from hospital,2.4,Council,,
2023-24,Blackpool,E06000009,2E,Proportion of adults with learning disabilities who live in their own home or with their family,91.0,Council,,
2023-24,Blackpool,E06000009,3D1A,Proportion of people using social care who receive self-directed support,100.0,Council,,
2023-24,Blackpool,E06000009,3D1B,Proportion of carers who receive self-directed support,100.0,Council,,
2023-24,Blackpool,E06000009,3D2A,Proportion of people using social care who receive direct payments,17.7,Council,,
2023-24,Blackpool,E06000009,3D2B,Proportion of carers who receive direct payments,84.4,Council,,
2023-24,Blackpool,E06000009,2D1,Proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,78.9,Council,,
2023-24,Blackpool,E06000009,2A,Outcome of short-term services: sequel to service,60.5,Council,,
2023-24,Cheshire East,E06000049,2D2,Proportion of older people (aged 65 and over) offered reablement services following discharge from hospital,1.6,Council,,
2023-24,Cheshire East,E06000049,2E,Proportion of adults with learning disabilities who live in their own home or with their family,83.0,Council,,
2023-24,Cheshire East,E06000049,3D1A,Proportion of people using social care who receive self-directed support,100.0,Council,,
2023-24,Cheshire East,E06000049,3D1B,Proportion of carers who receive self-directed support,4.4,Council,,
2023-24,Cheshire East,E06000049,3D2A,Proportion of people using social care who receive direct payments,15.3,Council,,
2023-24,Cheshire East,E06000049,3D2B,Proportion of carers who receive direct payments,4.4,Council,,
2023-24,Cheshire East,E06000049,2D1,Proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,92.2,Council,,
2023-24,Cheshire East,E06000049,2A,Outcome of short-term services: sequel to service,71.9,Council,,
2023-24,Cheshire West and Chester,E06000050,2D2,Proportion of older people (aged 65 and over) offered reablement services following discharge from hospital,0.3,Council,,
2023-24,Cheshire West and Chester,E06000050,2E,Proportion of adults with learning disabilities who live in their own home or with their family,93.8,Council,,
2023-24,Cheshire West and Chester,E06000050,3D1A,Proportion of people using social care who receive self-directed support,99.9,Council,,
2023-24,Cheshire West and Chester,E06000050,3D1B,Proportion of carers who receive self-directed support,100.0,Council,,
2023-24,Cheshire West and Chester,E06000050,3D2A,Proportion of people using social care who receive direct payments,21.5,Council,,
2023-24,Cheshire West and Chester,E06000050,3D2B,Proportion of carers who receive direct payments,92.7,Council,,
2023-24,Cheshire West and Chester,E06000050,2D1,Proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,74.4,Council,,
2023-24,Cheshire West and Chester,E06000050,2A,Outcome of short-term services: sequel to service,82.7,Council,,
2023-24,Warwickshire,E10000031,2D2,Proportion of older people (aged 65 and over) offered reablement services following discharge from hospital,4.4,Council,,
2023-24,Warwickshire,E10000031,2E,Proportion of adults with learning disabilities who live in their own home or with their family,70.9,Council,,
2023-24,Warwickshire,E10000031,3D1A,Proportion of people using social care who receive self-directed support,100.0,Council,,
2023-24,Warwickshire,E10000031,3D1B,Proportion of carers who receive self-directed support,100.0,Council,,
2023-24,Warwickshire,E10000031,3D2A,Proportion of people using social care who receive direct payments,21.3,Council,,
2023-24,Warwickshire,E10000031,3D2B,Proportion of carers who receive direct payments,100.0,Council,,
2023-24,Warwickshire,E10000031,2D1,Proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,93.8,Council,,
2023-24,Warwickshire,E10000031,2A,Outcome of short-term services: sequel to service,99.4,Council,,
2023-24,Birmingham,E08000025,2D2,Proportion of older people (aged 65 and over) offered reablement services following discharge from hospital,9.1,Council,,
2023-24,Birmingham,E08000025,2E,Proportion of adults with learning disabilities who live in their own home or with their family,71.8,Council,,
2023-24,Birmingham,E08000025,3D1A,Proportion of people using social care who receive self-directed support,100.0,Council,,
2023-24,Birmingham,E08000025,3D1B,Proportion of carers who receive self-directed support,98.1,Council,,
2023-24,Birmingham,E08000025,3D2A,Proportion of people using social care who receive direct payments,39.0,Council,,
2023-24,Birmingham,E08000025,3D2B,Proportion of carers who receive direct payments,97.4,Council,,
2023-24,Birmingham,E08000025,2D1,Proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,84.4,Council,,
2023-24,Birmingham,E08000025,2A,Outcome of short-term services: sequel to service,70.9,Council,,
2023-24,Coventry,E08000026,2D2,Proportion of older people (aged 65 and over) offered reablement services following discharge from hospital,6.0,Council,,
2023-24,Coventry,E08000026,2E,Proportion of adults with learning disabilities who live in their own home or with their family,81.1,Council,,
2023-24,Coventry,E08000026,3D1A,Proportion of people using social care who receive self-directed support,100.0,Council,,
2023-24,Coventry,E08000026,3D1B,Proportion of carers who receive self-directed support,100.0,Council,,
2023-24,Coventry,E08000026,3D2A,Proportion of people using social care who receive direct payments,22.5,Council,,
2023-24,Coventry,E08000026,3D2B,Proportion of carers who receive direct payments,64.2,Council,,
2023-24,Coventry,E08000026,2D1,Proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,81.2,Council,,
2023-24,Coventry,E08000026,2A,Outcome of short-term services: sequel to service,76.7,Council,,
2023-24,Dudley,E08000027,2D2,Proportion of older people (aged 65 and over) offered reablement services following discharge from hospital,2.1,Council,,
2023-24,Dudley,E08000027,2E,Proportion of adults with learning disabilities who live in their own home or with their family,73.9,Council,,
2023-24,Dudley,E08000027,3D1A,Proportion of people using social care who receive self-directed support,96.6,Council,,
2023-24,Dudley,E08000027,3D1B,Proportion of carers who receive self-directed support,87.3,Council,,
2023-24,Dudley,E08000027,3D2A,Proportion of people using social care who receive direct payments,26.7,Council,,
2023-24,Dudley,E08000027,3D2B,Proportion of carers who receive direct payments,87.3,Council,,
2023-24,Dudley,E08000027,2D1,Proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,81.8,Council,,
2023-24,Dudley,E08000027,2A,Outcome of short-term services: sequel to service,73.7,Council,,
2023-24,Sandwell,E08000028,2D2,Proportion of older people (aged 65 and over) offered reablement services following discharge from hospital,5.8,Council,,
2023-24,Sandwell,E08000028,2E,Proportion of adults with learning disabilities who live in their own home or with their family,85.9,Council,,
2023-24,Sandwell,E08000028,3D1A,Proportion of people using social care who receive self-directed support,100.0,Council,,
2023-24,Sandwell,E08000028,3D1B,Proportion of carers who receive self-directed support,100.0,Council,,
2023-24,Sandwell,E08000028,3D2A,Proportion of people using social care who receive direct payments,19.2,Council,,
2023-24,Sandwell,E08000028,3D2B,Proportion of carers who receive direct payments,100.0,Council,,
2023-24,Sandwell,E08000028,2D1,Proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,67.1,Council,,
2023-24,Sandwell,E08000028,2A,Outcome of short-term services: sequel to service,52.7,Council,,
2023-24,Solihull,E08000029,2D2,Proportion of older people (aged 65 and over) offered reablement services following discharge from hospital,3.8,Council,,
2023-24,Solihull,E08000029,2E,Proportion of adults with learning disabilities who live in their own home or with their family,80.0,Council,,
2023-24,Solihull,E08000029,3D1A,Proportion of people using social care who receive self-directed support,100.0,Council,,
2023-24,Solihull,E08000029,3D1B,Proportion of carers who receive self-directed support,100.0,Council,,
2023-24,Solihull,E08000029,3D2A,Proportion of people using social care who receive direct payments,26.5,Council,,
2023-24,Solihull,E08000029,3D2B,Proportion of carers who receive direct payments,100.0,Council,,
2023-24,Solihull,E08000029,2D1,Proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,82.6,Council,,
2023-24,Solihull,E08000029,2A,Outcome of short-term services: sequel to service,76.6,Council,,
2023-24,Walsall,E08000030,2D2,Proportion of older people (aged 65 and over) offered reablement services following discharge from hospital,4.7,Council,,
2023-24,Walsall,E08000030,2E,Proportion of adults with learning disabilities who live in their own home or with their family,86.0,Council,,
2023-24,Walsall,E08000030,3D1A,Proportion of people using social care who receive self-directed support,100.0,Council,,
2023-24,Walsall,E08000030,3D2A,Proportion of people using social care who receive direct payments,27.1,Council,,
2023-24,Walsall,E08000030,2D1,Proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,86.2,Council,,
2023-24,Walsall,E08000030,2A,Outcome of short-term services: sequel to service,76.6,Council,,
2023-24,Wolverhampton,E08000031,2D2,Proportion of older people (aged 65 and over) offered reablement services following discharge from hospital,7.0,Council,,
2023-24,Wolverhampton,E08000031,2E,Proportion of adults with learning disabilities who live in their own home or with their family,74.5,Council,,
2023-24,Wolverhampton,E08000031,3D1A,Proportion of people using social care who receive self-directed support,67.2,Council,,
2023-24,Wolverhampton,E08000031,3D1B,Proportion of carers who receive self-directed support,89.1,Council,,
2023-24,Wolverhampton,E08000031,3D2A,Proportion of people using social care who receive direct payments,24.6,Council,,
2023-24,Wolverhampton,E08000031,3D2B,Proportion of carers who receive direct payments,84.4,Council,,
2023-24,Wolverhampton,E08000031,2D1,Proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,87.4,Council,,
2023-24,Wolverhampton,E08000031,2A,Outcome of short-term services: sequel to service,71.0,Council,,
2023-24,Staffordshire,E10000028,2D2,Proportion of older people (aged 65 and over) offered reablement services following discharge from hospital,4.0,Council,,
2023-24,Staffordshire,E10000028,2E,Proportion of adults with learning disabilities who live in their own home or with their family,74.5,Council,,
2023-24,Staffordshire,E10000028,3D1A,Proportion of people using social care who receive self-directed support,97.8,Council,,
2023-24,Staffordshire,E10000028,3D1B,Proportion of carers who receive self-directed support,100.0,Council,,
2023-24,Staffordshire,E10000028,3D2A,Proportion of people using social care who receive direct payments,23.7,Council,,
2023-24,Staffordshire,E10000028,3D2B,Proportion of carers who receive direct payments,100.0,Council,,
2023-24,Staffordshire,E10000028,2D1,Proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,86.5,Council,,
2023-24,Staffordshire,E10000028,2A,Outcome of short-term services: sequel to service,97.9,Council,,
2023-24,Stoke-on-Trent,E06000021,2D2,Proportion of older people (aged 65 and over) offered reablement services following discharge from hospital,2.9,Council,,
2023-24,Stoke-on-Trent,E06000021,2E,Proportion of adults with learning disabilities who live in their own home or with their family,64.7,Council,,
2023-24,Stoke-on-Trent,E06000021,3D1A,Proportion of people using social care who receive self-directed support,2.9,Council,,
2023-24,Stoke-on-Trent,E06000021,3D1B,Proportion of carers who receive self-directed support,42.9,Council,,
2023-24,Stoke-on-Trent,E06000021,3D2A,Proportion of people using social care who receive direct payments,2.9,Council,,
2023-24,Stoke-on-Trent,E06000021,3D2B,Proportion of carers who receive direct payments,42.9,Council,,
2023-24,Stoke-on-Trent,E06000021,2D1,Proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,69.8,Council,,
2023-24,Stoke-on-Trent,E06000021,2A,Outcome of short-term services: sequel to service,55.3,Council,,
2023-24,"Herefordshire, County of",E06000019,2D2,Proportion of older people (aged 65 and over) offered reablement services following discharge from hospital,0.9,Council,,
2023-24,"Herefordshire, County of",E06000019,2E,Proportion of adults with learning disabilities who live in their own home or with their family,71.2,Council,,
2023-24,"Herefordshire, County of",E06000019,3D1A,Proportion of people using social care who receive self-directed support,100.0,Council,,
2023-24,"Herefordshire, County of",E06000019,3D1B,Proportion of carers who receive self-directed support,100.0,Council,,
2023-24,"Herefordshire, County of",E06000019,3D2A,Proportion of people using social care who receive direct payments,37.1,Council,,
2023-24,"Herefordshire, County of",E06000019,3D2B,Proportion of carers who receive direct payments,100.0,Council,,
2023-24,"Herefordshire, County of",E06000019,2D1,Proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,79.7,Council,,
2023-24,"Herefordshire, County of",E06000019,2A,Outcome of short-term services: sequel to service,86.8,Council,,
2023-24,Worcestershire,E10000034,2D2,Proportion of older people (aged 65 and over) offered reablement services following discharge from hospital,3.7,Council,,
2023-24,Worcestershire,E10000034,2E,Proportion of adults with learning disabilities who live in their own home or with their family,86.1,Council,,
2023-24,Worcestershire,E10000034,3D1A,Proportion of people using social care who receive self-directed support,100.0,Council,,
2023-24,Worcestershire,E10000034,3D1B,Proportion of carers who receive self-directed support,100.0,Council,,
2023-24,Worcestershire,E10000034,3D2A,Proportion of people using social care who receive direct payments,22.1,Council,,
2023-24,Worcestershire,E10000034,3D2B,Proportion of carers who receive direct payments,100.0,Council,,
2023-24,Worcestershire,E10000034,2D1,Proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,82.7,Council,,
2023-24,Worcestershire,E10000034,2A,Outcome of short-term services: sequel to service,84.9,Council,,
2023-24,Shropshire,E06000051,2D2,Proportion of older people (aged 65 and over) offered reablement services following discharge from hospital,3.0,Council,,
2023-24,Shropshire,E06000051,2E,Proportion of adults with learning disabilities who live in their own home or with their family,87.3,Council,,
2023-24,Shropshire,E06000051,3D1A,Proportion of people using social care who receive self-directed support,100.0,Council,,
2023-24,Shropshire,E06000051,3D1B,Proportion of carers who receive self-directed support,36.4,Council,,
2023-24,Shropshire,E06000051,3D2A,Proportion of people using social care who receive direct payments,21.1,Council,,
2023-24,Shropshire,E06000051,3D2B,Proportion of carers who receive direct payments,20.0,Council,,
2023-24,Shropshire,E06000051,2D1,Proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,89.3,Council,,
2023-24,Shropshire,E06000051,2A,Outcome of short-term services: sequel to service,83.3,Council,,
2023-24,Telford and Wrekin,E06000020,2D2,Proportion of older people (aged 65 and over) offered reablement services following discharge from hospital,3.5,Council,,
2023-24,Telford and Wrekin,E06000020,2E,Proportion of adults with learning disabilities who live in their own home or with their family,82.8,Council,,
2023-24,Telford and Wrekin,E06000020,3D1A,Proportion of people using social care who receive self-directed support,99.2,Council,,
2023-24,Telford and Wrekin,E06000020,3D1B,Proportion of carers who receive self-directed support,100.0,Council,,
2023-24,Telford and Wrekin,E06000020,3D2A,Proportion of people using social care who receive direct payments,20.6,Council,,
2023-24,Telford and Wrekin,E06000020,3D2B,Proportion of carers who receive direct payments,1.9,Council,,
2023-24,Telford and Wrekin,E06000020,2D1,Proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,85.3,Council,,
2023-24,Telford and Wrekin,E06000020,2A,Outcome of short-term services: sequel to service,77.4,Council,,
2023-24,Lincolnshire,E10000019,2D2,Proportion of older people (aged 65 and over) offered reablement services following discharge from hospital,2.1,Council,,
2023-24,Lincolnshire,E10000019,2E,Proportion of adults with learning disabilities who live in their own home or with their family,79.3,Council,,
2023-24,Lincolnshire,E10000019,3D1A,Proportion of people using social care who receive self-directed support,99.8,Council,,
2023-24,Lincolnshire,E10000019,3D1B,Proportion of carers who receive self-directed support,100.0,Council,,
2023-24,Lincolnshire,E10000019,3D2A,Proportion of people using social care who receive direct payments,43.6,Council,,
2023-24,Lincolnshire,E10000019,3D2B,Proportion of carers who receive direct payments,100.0,Council,,
2023-24,Lincolnshire,E10000019,2D1,Proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,91.7,Council,,
2023-24,Lincolnshire,E10000019,2A,Outcome of short-term services: sequel to service,91.4,Council,,
2023-24,Derbyshire,E10000007,2D2,Proportion of older people (aged 65 and over) offered reablement services following discharge from hospital,2.2,Council,,
2023-24,Derbyshire,E10000007,2E,Proportion of adults with learning disabilities who live in their own home or with their family,87.2,Council,,
2023-24,Derbyshire,E10000007,3D1A,Proportion of people using social care who receive self-directed support,98.9,Council,,
2023-24,Derbyshire,E10000007,3D1B,Proportion of carers who receive self-directed support,100.0,Council,,
2023-24,Derbyshire,E10000007,3D2A,Proportion of people using social care who receive direct payments,32.6,Council,,
2023-24,Derbyshire,E10000007,3D2B,Proportion of carers who receive direct payments,100.0,Council,,
2023-24,Derbyshire,E10000007,2D1,Proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,67.4,Council,,
2023-24,Derbyshire,E10000007,2A,Outcome of short-term services: sequel to service,95.3,Council,,
2023-24,Derby,E06000015,2D2,Proportion of older people (aged 65 and over) offered reablement services following discharge from hospital,2.8,Council,,
2023-24,Derby,E06000015,2E,Proportion of adults with learning disabilities who live in their own home or with their family,87.2,Council,,
2023-24,Derby,E06000015,3D1A,Proportion of people using social care who receive self-directed support,100.0,Council,,
2023-24,Derby,E06000015,3D1B,Proportion of carers who receive self-directed support,100.0,Council,,
2023-24,Derby,E06000015,3D2A,Proportion of people using social care who receive direct payments,32.8,Council,,
2023-24,Derby,E06000015,3D2B,Proportion of carers who receive direct payments,100.0,Council,,
2023-24,Derby,E06000015,2D1,Proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,75.5,Council,,
2023-24,Derby,E06000015,2A,Outcome of short-term services: sequel to service,69.5,Council,,
2023-24,Leicestershire,E10000018,2D2,Proportion of older people (aged 65 and over) offered reablement services following discharge from hospital,2.6,Council,,
2023-24,Leicestershire,E10000018,2E,Proportion of adults with learning disabilities who live in their own home or with their family,85.3,Council,,
2023-24,Leicestershire,E10000018,3D1A,Proportion of people using social care who receive self-directed support,96.3,Council,,
2023-24,Leicestershire,E10000018,3D1B,Proportion of carers who receive self-directed support,100.0,Council,,
2023-24,Leicestershire,E10000018,3D2A,Proportion of people using social care who receive direct payments,35.6,Council,,
2023-24,Leicestershire,E10000018,3D2B,Proportion of carers who receive direct payments,99.7,Council,,
2023-24,Leicestershire,E10000018,2D1,Proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,88.1,Council,,
2023-24,Leicestershire,E10000018,2A,Outcome of short-term services: sequel to service,89.6,Council,,
2023-24,Leicester,E06000016,2D2,Proportion of older people (aged 65 and over) offered reablement services following discharge from hospital,3.5,Council,,
2023-24,Leicester,E06000016,2E,Proportion of adults with learning disabilities who live in their own home or with their family,83.9,Council,,
2023-24,Leicester,E06000016,3D1A,Proportion of people using social care who receive self-directed support,100.0,Council,,
2023-24,Leicester,E06000016,3D1B,Proportion of carers who receive self-directed support,100.0,Council,,
2023-24,Leicester,E06000016,3D2A,Proportion of people using social care who receive direct payments,46.0,Council,,
2023-24,Leicester,E06000016,3D2B,Proportion of carers who receive direct payments,100.0,Council,,
2023-24,Leicester,E06000016,2D1,Proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,90.0,Council,,
